class_match,completed,cost_usd,failed_tool_calls,file_match,function_match,gold_classes,gold_files,gold_functions,gold_line_ranges,input_tokens,instance_id,line_iou,line_match,locator_llm_calls,output_tokens,paper_file_jaccard,paper_function_jaccard,predicted_classes,predicted_files,predicted_functions,predicted_line_ranges,predicted_locations,reflection_turns,repo,request_ids,requested_model,returned_models,run_id,stop_reasons,summarizer_llm_calls,termination_reason,token_usage_incomplete,tool_calls,tool_original_chars,tool_result_chars,tool_returned_chars,total_llm_calls,total_tokens,trajectory_path,truncated_tool_calls,wall_clock_ms
True,True,,0,True,False,['django.contrib.admin.options.InlineModelAdmin'],['django/contrib/admin/options.py'],"['django.contrib.admin.options.InlineModelAdmin.__init__', 'django.contrib.admin.options.InlineModelAdmin.media']","[(2037, 2049)]",69601,django__django-13710,0.3076923076923077,False,7,1618,1.0,0.5,['django.contrib.admin.options.InlineModelAdmin'],['django/contrib/admin/options.py'],['django.contrib.admin.options.InlineModelAdmin.__init__'],"[(2040, 2043)]","[{'end_line': 2043, 'file_path': 'django/contrib/admin/options.py', 'start_line': 2040}]",1,django/django,"['f004269c-12af-46a9-8131-3c48adbdd027', '4694ce2f-1306-43e2-860a-98c3b094ba13', '5aa36e2a-2936-4b90-a2f1-9d468705b354', 'c1fadc42-df95-4dc6-92a5-ae7559daf00c', 'c7ff3c38-ea88-48e1-979a-8e16c469ced0', '5499042d-a3ea-4a28-b944-b742055d821e', 'e17c8f99-8a6c-4d38-9a55-b6d97123cff9']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-13710-0-16c2de1877,{'stop': 7},0,completed,False,5,71129,38377,38377,7,71219,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-13710/0/trajectory.jsonl,1,104516.307
True,True,,0,True,False,['django.dispatch.dispatcher.Signal'],['django/dispatch/dispatcher.py'],"['django.dispatch.dispatcher.Signal._clear_dead_receivers', 'django.dispatch.dispatcher.Signal.send_robust', 'django.dispatch.dispatcher._make_id']","[(1, 4), (6, 13), (211, 222)]",105874,django__django-13768,0.16,False,12,2155,1.0,0.3333333333333333,['django.dispatch.dispatcher.Signal'],['django/dispatch/dispatcher.py'],['django.dispatch.dispatcher.Signal.send_robust'],"[(1, 3), (210, 211)]","[{'end_line': 3, 'file_path': 'django/dispatch/dispatcher.py', 'start_line': 1}, {'end_line': 211, 'file_path': 'django/dispatch/dispatcher.py', 'start_line': 210}]",1,django/django,"['eef28f64-ccae-446a-87cf-0bbcb329f0ee', '6dd80e2c-5d05-4d1e-a389-13a47d6afb17', '9c6e8ffc-7167-47b1-854b-bda4cd780ff4', '0f28574e-d884-48ee-89cf-8797d595cdcf', '2d700b5b-6b48-4c29-bf9a-ad99f8356e14', '7a18d546-e9ca-4d11-9004-a70a04e55d5d', '9d83d67f-09f9-425e-8d5f-3f5cac459aff', 'a9930533-9d36-46d3-b577-50c758313103', '5b2b40a9-75b8-49d8-9a25-1b27280bd134', '27fa5213-43ad-4120-98a9-18e958442410', '8e249f2d-6fad-4cbc-911a-f81e16429d61', '4cd39b04-357d-4d52-bde5-9491047d7fb1', 'b649bd4b-197c-499e-8029-049b32ce3aa7']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-13768-0-dd5486adda,{'stop': 13},1,completed,False,10,62337,34940,34940,13,108029,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-13768/0/trajectory.jsonl,1,136869.156
False,True,,0,False,False,['django.db.models.base.Model'],['django/db/models/base.py'],['django.db.models.base.Model._prepare_related_fields_for_save'],"[(933, 939)]",223653,django__django-13964,0.0,False,14,4771,0.0,0.0,"['django.db.models.fields.related_descriptors.ForeignKeyDeferredAttribute', 'django.db.models.fields.related_descriptors.ForwardManyToOneDescriptor']",['django/db/models/fields/related_descriptors.py'],"['django.db.models.fields.related_descriptors.ForeignKeyDeferredAttribute.__set__', 'django.db.models.fields.related_descriptors.ForwardManyToOneDescriptor.__set__']","[(75, 79), (254, 261)]","[{'end_line': 79, 'file_path': 'django/db/models/fields/related_descriptors.py', 'start_line': 75}, {'end_line': 261, 'file_path': 'django/db/models/fields/related_descriptors.py', 'start_line': 254}]",1,django/django,"['f4323572-9c8a-4ac6-b8b7-91d8eada8bfe', '5db94021-22de-4b97-9488-c03def03c113', 'bc74c7e0-4d8c-407f-a9ea-69fa2eb09e9b', '8a77400b-04f6-4715-a0f9-c53c1f0bb60e', '1fa6a6b2-5def-44c1-9948-1d56cd795612', 'b7f143f1-ecea-4fe5-a84f-5f81bd7ab27b', '223ad6c8-0217-4be6-b940-82cac809dfeb', '6d5d8c48-b3d1-447c-b229-34d66f403db8', 'c429e643-afba-42d5-bc84-32c78cfa4019', '44b463c3-b9c8-40dc-a33a-01734518d2ab', '67a3069a-8233-470d-93b5-c355b313e2a6', 'd65cad18-88ff-4d96-8769-c9daf49e8801', '54962518-57ca-456e-8197-654e50186d23', 'bcbacaad-c82f-41e5-8407-c21ebb11330a', '36f8473c-4614-4c95-94cc-a739438dc311']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-13964-1-7d8814138f,{'stop': 15},1,completed,False,13,94312,71848,71848,15,228424,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-13964/1/trajectory.jsonl,1,193713.785
True,True,,0,True,False,['django.db.models.query_utils.Q'],['django/db/models/query_utils.py'],"['django.db.models.query_utils.Q.__init__', 'django.db.models.query_utils.Q._combine']","[(40, 46)]",162644,django__django-14017,0.42857142857142855,True,11,2680,1.0,0.5,['django.db.models.query_utils.Q'],['django/db/models/query_utils.py'],['django.db.models.query_utils.Q._combine'],"[(42, 44)]","[{'end_line': 44, 'file_path': 'django/db/models/query_utils.py', 'start_line': 42}]",1,django/django,"['f5946acb-04d5-4c0a-a83a-2d0fb9fc60dd', '8eb4cae1-8b81-4da3-81a1-e5d8d92dbd64', 'b441659d-f2ff-4232-a023-b6889fade654', 'f8fefcbb-3481-4bc1-bd27-1de7c04c2034', 'c664ab38-d445-43ba-a85a-b22cdf1ee217', 'aa68b45d-46ef-4b99-9d4d-deb7e950b0b2', '8046bc73-7835-45c3-8b8b-3cb6c7f85374', 'a02e0fcf-3748-4574-8d88-1b41a70d8567', 'f156e242-21c5-43c8-97be-c706e68ca267', 'dc85e67b-cfbb-4df9-be9f-6dfb2c03a27a', '8212059a-1655-4921-a13d-26a835a2e9b8', '723f36cf-35e8-4da3-a3bc-596436ae6e4e']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14017-0-8d2e5c99c2,{'stop': 12},1,completed,False,9,94292,77155,77155,12,165324,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-14017/0/trajectory.jsonl,2,149135.312
True,True,,0,True,False,['django.forms.boundfield.BoundWidget'],['django/forms/boundfield.py'],"['django.forms.boundfield.BoundWidget.choice_label', 'django.forms.boundfield.BoundWidget.id_for_label']","[(277, 283)]",36546,django__django-14534,0.2857142857142857,True,6,674,1.0,0.5,['django.forms.boundfield.BoundWidget'],['django/forms/boundfield.py'],['django.forms.boundfield.BoundWidget.id_for_label'],"[(279, 280)]","[{'end_line': 280, 'file_path': 'django/forms/boundfield.py', 'start_line': 279}]",1,django/django,"['2dd99eeb-cb67-437d-85b7-8051a23a0638', '86e7572f-7263-4c8f-add3-585726022e3f', '771ed680-378c-4f25-a8ef-5cac35a22996', '4eb58436-3ee7-4db4-8036-4c79b162137f', 'bea85252-012b-4a89-a62a-5c71d077f686', '50bc36b4-3c27-4318-bdef-fa1bc125f77d']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14534-0-b256520ec6,{'stop': 6},0,completed,False,4,14226,14226,14226,6,37220,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-14534/0/trajectory.jsonl,0,85602.416
True,True,,0,True,False,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],"['django.db.models.sql.query.Query.add_deferred_loading', 'django.db.models.sql.query.Query.add_immediate_loading']","[(2086, 2097)]",71352,django__django-14667,0.25,False,8,3399,1.0,0.5,['django.db.models.sql.query.Query'],['django/db/models/sql/query.py'],['django.db.models.sql.query.Query.add_deferred_loading'],"[(2087, 2089)]","[{'end_line': 2089, 'file_path': 'django/db/models/sql/query.py', 'start_line': 2087}]",1,django/django,"['3480ae27-5f93-4bab-acf7-125f1d889e19', 'eed3eaca-29a7-43ae-a024-140ff22c4f92', '509108d7-e041-4c9e-b353-e5ae4542a5a9', '27301362-dbde-425d-a073-353bd01121b1', 'e19b8b55-24e6-4981-9d6e-f3350185ca8b', 'e2d7acab-4ff2-4b69-9f2a-afd84b43a75f', '10863c0a-5279-4d7e-9811-e2d690cae681', '869ca349-a9af-49ff-9e78-9a9bcfd9ddac']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14667-0-b77f21aced,{'stop': 8},0,completed,False,6,20783,20783,20783,8,74751,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-14667/0/trajectory.jsonl,0,136632.399
True,True,,0,True,False,['django.db.models.fields.related.ManyToManyField'],['django/db/models/fields/related.py'],"['django.db.models.fields.related.ManyToManyField._check_ignored_options', 'django.db.models.fields.related.ManyToManyField._check_relationship_model']","[(1258, 1273)]",223873,django__django-14730,0.1875,False,12,2297,1.0,0.5,['django.db.models.fields.related.ManyToManyField'],['django/db/models/fields/related.py'],['django.db.models.fields.related.ManyToManyField._check_ignored_options'],"[(1259, 1261)]","[{'end_line': 1261, 'file_path': 'django/db/models/fields/related.py', 'start_line': 1259}]",1,django/django,"['c4850330-b576-4054-a623-51be909eda03', '3927db40-35da-497d-83d9-f055169393ab', '1b9b5b38-4fc4-4b31-bc64-84ca0b422743', 'ead0d77a-724c-4a13-b902-5e0351f68588', '3326ab14-511f-4a94-8b4a-80b706bd4f31', '8752676b-d2e1-4c56-97c5-8d5c58fef1c3', 'e2643145-0745-41ee-abaf-eb95796b15f3', 'f7709651-f4c3-4f22-bd2e-2808bcb12d67', '5f7197c9-5fc2-4e9e-a8d4-d44999f65522', 'bddeac45-24d6-4720-9217-d8b2143dddf2', '68d3313c-ba23-44cc-ad9b-c488dad4da7f', '03acdae8-31ff-48a6-8fdd-eeff6dcb2812', '8232186a-6ad2-47ed-83f2-8480723c216b']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14730-0-0f50d05f70,{'stop': 13},1,completed,False,10,289337,88184,88184,13,226170,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-14730/0/trajectory.jsonl,2,151008.989
True,True,,0,True,False,['django.contrib.admin.helpers.AdminReadonlyField'],['django/contrib/admin/helpers.py'],"['django.contrib.admin.helpers.AdminReadonlyField.contents', 'django.contrib.admin.helpers.AdminReadonlyField.get_admin_url']","[(209, 219)]",80277,django__django-14855,0.5,True,8,1021,1.0,0.5,['django.contrib.admin.helpers.AdminReadonlyField'],['django/contrib/admin/helpers.py'],['django.contrib.admin.helpers.AdminReadonlyField.get_admin_url'],"[(206, 215)]","[{'end_line': 215, 'file_path': 'django/contrib/admin/helpers.py', 'start_line': 206}]",1,django/django,"['4bb7bf25-027c-433a-8f15-1bde19e7ed42', '2a5ada5d-0833-4778-b4a3-8552d7dff463', 'b203c0ed-ed32-417b-a609-17b0aa2ae16e', 'aed2326c-67b5-4d0a-993c-0bd5e424c3a3', '34841cbe-5bda-4c0f-a130-c2603f710d0b', 'f19da11d-3511-4e57-9944-f7255ab4b3f8', '99eebeab-b846-4404-8198-b43a55765f3b', '5d2604d7-4e8e-43c6-8050-d3448e08a79a']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14855-0-2d38e9866e,{'stop': 8},0,completed,False,6,35900,35900,35900,8,81298,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-14855/0/trajectory.jsonl,0,103862.415
True,True,,0,True,True,['django.forms.models.ModelChoiceIteratorValue'],['django/forms/models.py'],"['django.forms.models.ModelChoiceIteratorValue.__eq__', 'django.forms.models.ModelChoiceIteratorValue.__str__']","[(1166, 1174)]",21384,django__django-14915,0.5714285714285714,True,7,722,1.0,0.6666666666666666,['django.forms.models.ModelChoiceIteratorValue'],['django/forms/models.py'],"['django.forms.models.ModelChoiceIteratorValue.__eq__', 'django.forms.models.ModelChoiceIteratorValue.__init__', 'django.forms.models.ModelChoiceIteratorValue.__str__']","[(1161, 1173)]","[{'end_line': 1173, 'file_path': 'django/forms/models.py', 'start_line': 1161}]",1,django/django,"['59a5e364-75c9-41df-9ab1-b984b7618483', 'f7643582-9096-4954-adaf-b71d8d785665', '3bb341a4-3594-4d4b-a332-2172081291e0', '271be5aa-aee7-4fa0-a226-9e34c8dde7b8', '0d2c5948-5439-4e5a-9200-5cbe6e509c1e', '52ae0617-eb08-48c5-9cd3-38cad42bdfe1', 'b1b99df7-bc7e-4064-93fe-566da777239d']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14915-0-26ea4c8932,{'stop': 7},0,completed,False,5,2403,2403,2403,7,22106,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-14915/0/trajectory.jsonl,0,92153.434
True,True,,0,True,True,['django.db.migrations.operations.models.RenameModel'],['django/db/migrations/operations/models.py'],['django.db.migrations.operations.models.RenameModel.database_forwards'],"[(320, 332)]",69138,django__django-14999,0.26,True,7,1606,1.0,1.0,['django.db.migrations.operations.models.RenameModel'],['django/db/migrations/operations/models.py'],['django.db.migrations.operations.models.RenameModel.database_forwards'],"[(319, 328), (329, 347), (348, 368)]","[{'end_line': 328, 'file_path': 'django/db/migrations/operations/models.py', 'start_line': 319}, {'end_line': 347, 'file_path': 'django/db/migrations/operations/models.py', 'start_line': 329}, {'end_line': 368, 'file_path': 'django/db/migrations/operations/models.py', 'start_line': 348}]",1,django/django,"['568a2ef0-ade1-4041-8d18-6c6cd7ea79ad', '57da791b-ded4-45ec-aa87-0ad2e3dfe580', 'a0cb0845-0ebe-4cd5-9bb1-c3386d880154', 'c93c80ea-b3c6-4c92-8c0f-873e51231020', '348e32e8-41b8-4328-a51a-1f296dcb16aa', '1e0e8f19-2de1-4c3f-9bbe-033c4165653f', 'd33ebd76-8e27-43b6-aad0-5f221b66baad']",ep-64pmfvfo,['ep-64pmfvfo'],sgagent-official-django__django-14999-0-e026e34279,{'stop': 7},0,completed,False,5,69908,57763,57763,7,70744,experiments/name_to_definition/runs/claude35_full14_baseline/django__django-14999/0/trajectory.jsonl,1,110175.666
